,price,equity,port_ret,w_actual,w_target,mu_ann,sigma_ann,band
2018-04-25,2639.39990234375,1.0039927459236815,6.706349206342388e-05,0.0,0.0,-0.3928868442390902,0.13950993270869716,0.0007487405280686273
2018-04-26,2666.93994140625,1.0040600771832295,6.706349206342388e-05,0.0,0.0,-0.23332995468451861,0.140682853992608,0.0007550355185717917
2018-04-27,2669.909912109375,1.004127412958247,6.706349206342388e-05,0.0,0.0,-0.2165632112124064,0.13940980480551018,0.000748203148273146
2018-04-28,2669.909912109375,1.0041947532490365,6.706349206342388e-05,0.0,0.0,-0.21645127521545787,0.1380626481661562,0.0007409730482081763
2018-04-29,2669.909912109375,1.0042620980559012,6.706349206342388e-05,0.0,0.0,-0.21602695834496125,0.13673840510566554,0.0007338659237966598
2018-04-30,2648.050048828125,1.0043294473791438,6.706349206342388e-05,0.0,0.0,-0.3302923265128406,0.1360096119033424,0.0007299545391621363
2018-05-01,2654.800048828125,1.0043971997624987,6.746031746041048e-05,0.0,0.0,-0.2840906793837851,0.13501216763066706,0.0007246013221048147
2018-05-02,2635.669921875,1.004464956716451,6.746031746041048e-05,0.0,0.0,-0.3782937714500304,0.13413177173760837,0.0007198762959143524
2018-05-03,2629.72998046875,1.0045327182413089,6.746031746041048e-05,0.0,0.0,-0.3947669677108451,0.13281991079227923,0.0007128356254911983
2018-05-04,2663.419921875,1.0046004843373808,6.746031746041048e-05,0.0,0.0,-0.20012885548926174,0.1351409866801204,0.0007252926853736537
2018-05-05,2663.419921875,1.004668255004975,6.746031746041048e-05,0.0,0.0,-0.1997064011810432,0.13389262966295995,0.0007185928363084363
2018-05-06,2663.419921875,1.0047360302444002,6.746031746041048e-05,0.0,0.0,-0.1990306776764526,0.13266298200710494,0.0007119933991407211
2018-05-07,2672.6298828125,1.0048038100559644,6.746031746041048e-05,0.0,0.0,-0.14985706207351956,0.13185285086600826,0.0007076454791997363
2018-05-08,2671.919921875,1.0048715944399762,6.746031746041048e-05,0.0,0.0,-0.15652649588883114,0.13063780877945438,0.0007011244291508374
2018-05-09,2697.7900390625,1.0049393833967442,6.746031746041048e-05,0.0,0.0,-0.02386875350501466,0.13152832567652123,0.0007059037740965202
2018-05-10,2723.070068359375,1.0138491341661124,0.00886595840164306,1.0,1.0,0.0936263517414041,0.13222135303661198,0.0007096232058350749
2018-05-11,2727.719970703125,1.0155803784407074,0.0017075955546570487,1.0,1.0,0.0950698998188712,0.13114092518398018,0.0007038246214245389
2018-05-12,2727.719970703125,1.0155052568461527,-7.396912755441853e-05,0.8289910865203073,0.8289910865203073,0.07299857069253488,0.12995217270030796,0.0006974446659254121
2018-05-13,2727.719970703125,1.0153927595379237,-0.00011077964143513253,0.5462155777287737,0.5462155777287737,0.05323426587145544,0.12877978532070752,0.0006911525408511644
2018-05-14,2730.1298828125,1.0158172850397587,0.0004180899438637198,0.47396653908109976,0.47396653908109976,0.04790352658241229,0.12767332947942042,0.0006852142659570052
2018-05-15,2711.449951171875,1.0156450644549877,-0.00016953893904669837,0.0,0.0,-0.06494218225221746,0.1270383025966181,0.0006818061189216252
2018-05-16,2722.4599609375,1.015713580193463,6.746031746041048e-05,0.0,0.0,-0.015250330945130924,0.12636524568162136,0.0006781938672333733
2018-05-17,2720.1298828125,1.0157821005540315,6.746031746041048e-05,0.0,0.0,-0.0380873920881699,0.1252226475877398,0.0006720616192738718
2018-05-18,2712.969970703125,1.0158506255370054,6.746031746041048e-05,0.0,0.0,-0.08357454950062217,0.12412671799186867,0.0006661798380386105
2018-05-19,2712.969970703125,1.0159191551426965,6.746031746041048e-05,0.0,0.0,-0.08809448947041407,0.1230379924416463,0.0006603367204371032
2018-05-20,2712.969970703125,1.0159876893714166,6.746031746041048e-05,0.0,0.0,-0.09198743265390644,0.12196281509993455,0.0006545663151693893
2018-05-21,2733.010009765625,1.0160562282234775,6.746031746041048e-05,0.0,0.0,0.007602376453537535,0.122139557076841,0.0006555148776018373
2018-05-22,2724.43994140625,1.016124771699191,6.746031746041048e-05,0.0,0.0,-0.047780099913514146,0.12112868345388461,0.0006500895861149335
2018-05-23,2733.2900390625,1.0161933197988693,6.746031746041048e-05,0.0,0.0,-0.008941183407072104,0.12038468557941559,0.0006460965990164806
2018-05-24,2727.760009765625,1.016261872522824,6.746031746041048e-05,0.0,0.0,-0.046790178196260426,0.11934028906421423,0.0006404913923969798
2018-05-25,2721.330078125,1.0163304298713673,6.746031746041048e-05,0.0,0.0,-0.08587159312336948,0.11832168033837327,0.0006350245871274656
2018-05-26,2721.330078125,1.016398991844811,6.746031746041048e-05,0.0,0.0,-0.08843442898729881,0.11730574291162096,0.0006295721185424544
2018-05-27,2721.330078125,1.0164675584434675,6.746031746041048e-05,0.0,0.0,-0.09058403433446148,0.11630149327404356,0.0006241823775444246
2018-05-28,2721.330078125,1.0165361296676483,6.746031746041048e-05,0.0,0.0,-0.09236242824603762,0.11530867327044776,0.0006188539786316276
2018-05-29,2689.860107421875,1.0166047055176657,6.746031746041048e-05,0.0,0.0,-0.2564664268312678,0.11632222375753548,0.000624293636670248
2018-05-30,2724.010009765625,1.0166732859938317,6.746031746041048e-05,0.0,0.0,-0.06753239627233966,0.11867241638544931,0.0006369069641597073
2018-05-31,2705.27001953125,1.0167418710964584,6.746031746041048e-05,0.0,0.0,-0.16737609678046816,0.1182621971346238,0.0006347053447300115
2018-06-01,2734.6201171875,1.0168153024538154,7.222222222225128e-05,0.0,0.0,-0.011207166006623873,0.11968270385361789,0.0006423291097928582
2018-06-02,2734.6201171875,1.0168887391145482,7.222222222225128e-05,0.0,0.0,-0.018942636796639198,0.11866907578723904,0.0006368890353913431
2018-06-03,2734.6201171875,1.01696218107904,7.222222222225128e-05,0.0,0.0,-0.025802768997276557,0.11766642977633346,0.0006315079009509811
2018-06-04,2746.8701171875,1.0179351900917972,0.0009567799381928754,0.2264125107012407,0.2264125107012407,0.030630829963510367,0.11715743557924871,0.0006287761629556308
2018-06-05,2748.800048828125,1.0181416105159737,0.00020278346419866367,0.21565368448658645,0.21565368448658645,0.029846923330859768,0.11619760356991027,0.000623624808413515
2018-06-06,2772.35009765625,1.026461720613135,0.008171859406615134,1.0,1.0,0.1388460094924396,0.11672472717933081,0.0006264538457588277
2018-06-07,2770.3701171875,1.0257286334895241,-0.0007141884679079391,1.0,1.0,0.10963799822264872,0.11573535509952364,0.000621143951623634
2018-06-08,2779.030029296875,1.0289349631272067,0.0031259043893263616,1.0,1.0,0.1368296163476789,0.1150018023302527,0.0006172070227099275
2018-06-09,2779.030029296875,1.0289349631272067,0.0,1.0,1.0,0.1183732524845574,0.11403622486922306,0.0006120248327107961
2018-06-10,2779.030029296875,1.0289349631272067,0.0,1.0,1.0,0.10176007018802509,0.11308064657398426,0.0006068963075692783
2018-06-11,2782.0,1.0300345938126232,0.001068707668436586,1.0,1.0,0.10175028000273115,0.11217583597202478,0.0006020402492603132
2018-06-12,2786.85009765625,1.031830340890016,0.0017433852107295866,1.0,1.0,0.11141427456914169,0.1113260985305163,0.0005974797649397936
2018-06-13,2775.6298828125,1.0297559973362675,-0.002010353322193681,0.4399405789346121,0.4399405789346121,0.039736694070770504,0.11062735089540064,0.0005937296328657167
2018-06-14,2782.489990234375,1.0319624601961501,0.0021427045490292063,0.9746378543441402,0.9746378543441402,0.06525863776261123,0.10986719642365146,0.0005896499343844649
2018-06-15,2779.659912109375,1.0312541061091054,-0.0006864145880947081,0.46057490377037713,0.46057490377037713,0.04007058657017942,0.10895573251199207,0.0005847581682049462
2018-06-16,2779.659912109375,1.0312160332937506,-3.691894667789963e-05,0.28320983513368864,0.28320983513368864,0.03142623039483059,0.108052266377133,0.0005799093255614694
2018-06-17,2779.659912109375,1.0311971217043967,-1.833911493154261e-05,0.1193348382838485,0.1193348382838485,0.023681179461934883,0.1071577017964135,0.0005751082569668915
2018-06-18,2773.75,1.0312100637374448,1.255049376669426e-05,0.0,0.0,-0.013015370281531727,0.10632015240672195,0.0005706131851096737
2018-06-19,2762.590087890625,1.0312845400198258,7.222222222225128e-05,0.0,0.0,-0.073092865033195,0.10567766169681136,0.0005671649802107286
2018-06-20,2767.320068359375,1.0313590216810495,7.222222222225128e-05,0.0,0.0,-0.04770630806149265,0.10490076964690305,0.0005629954522609497
2018-06-21,2749.760009765625,1.0314335087215043,7.222222222225128e-05,0.0,0.0,-0.13732380028095265,0.1046941832526094,0.000561886716825759
2018-06-22,2754.8798828125,1.0315080011415787,7.222222222225128e-05,0.0,0.0,-0.10429588125351841,0.10394752580464009,0.0005578794559732557
2018-06-23,2754.8798828125,1.031582498941661,7.222222222225128e-05,0.0,0.0,-0.10003812516320772,0.10309672935523388,0.0005533132880277987
2018-06-24,2754.8798828125,1.0316570021221403,7.222222222225128e-05,0.0,0.0,-0.09609649666109268,0.10225391559267598,0.0005487899626316152
2018-06-25,2717.070068359375,1.0317315106834046,7.222222222225128e-05,0.0,0.0,-0.2877566353224654,0.10484180800843337,0.0005626790090696556
2018-06-26,2723.06005859375,1.031806024625843,7.222222222225128e-05,0.0,0.0,-0.23737658730839653,0.10414962271078904,0.0005589640966242333
2018-06-27,2699.6298828125,1.0318805439498437,7.222222222225128e-05,0.0,0.0,-0.3429642324468718,0.10450899359797342,0.000560892816268911
2018-06-28,2716.31005859375,1.0319550686557957,7.222222222225128e-05,0.0,0.0,-0.23275318065432202,0.10459465801372078,0.000561352571489475
2018-06-29,2718.3701171875,1.0320295987440875,7.222222222225128e-05,0.0,0.0,-0.20745648649945814,0.10378105949093688,0.0005569860423416397
2018-06-30,2718.3701171875,1.032104134215108,7.222222222225128e-05,0.0,0.0,-0.19490986628106824,0.10294212391033206,0.0005524835308900056
2018-07-01,2718.3701171875,1.0321823611554393,7.579365079357636e-05,0.0,0.0,-0.17665794545905178,0.1021107044150523,0.0005480213577683099
2018-07-02,2726.7099609375,1.032260594024876,7.579365079357636e-05,0.0,0.0,-0.12320968473407158,0.10155396542910732,0.0005450333766673281
2018-07-03,2713.219970703125,1.0323388328238674,7.579365079357636e-05,0.0,0.0,-0.18618508542619544,0.1010989138994627,0.0005425911453796392
2018-07-04,2713.219970703125,1.0324170775528632,7.579365079357636e-05,0.0,0.0,-0.172981853023547,0.1002851088838134,0.000538223507998332
2018-07-05,2736.610107421875,1.0324953282123126,7.579365079357636e-05,0.0,0.0,-0.04264651585042506,0.10117717881730212,0.0005430111879871768
2018-07-06,2759.820068359375,1.040731585730761,0.007977040954469938,1.0,1.0,0.07479667100250904,0.10194569045681633,0.00054713573883187
2018-07-07,2759.820068359375,1.040731585730761,0.0,1.0,1.0,0.06436099774486537,0.10112076942328792,0.0005427084425220891
2018-07-08,2759.820068359375,1.040683669432973,-4.604097583371658e-05,0.8914666658936714,0.8914666658936714,0.05497520588199111,0.10030316823978236,0.0005383204313604343
2018-07-09,2784.169921875,1.0498086340545691,0.008768240426572538,1.0,1.0,0.16938000968305775,0.10115865446739197,0.0005429117690335254
2018-07-10,2793.840087890625,1.0534548999294289,0.003473267180873929,1.0,1.0,0.19997374348684374,0.10061100828281269,0.0005399725883925825
2018-07-11,2774.02001953125,1.045981477158878,-0.007094202866256061,1.0,1.0,0.08018418014365493,0.10075399474901582,0.0005407399872446423
2018-07-12,2798.2900390625,1.0551328137394487,0.008749042674663476,1.0,1.0,0.1920793763784716,0.10153911730380694,0.0005449536877665998
2018-07-13,2801.31005859375,1.0562715526339428,0.0010792374947172778,1.0,1.0,0.1879982453968506,0.10074789098926426,0.0005407072287721031
2018-07-14,2801.31005859375,1.0562715526339428,0.0,1.0,1.0,0.16940813877980768,0.09993436884904919,0.0005363411095644333
2018-07-15,2801.31005859375,1.0562715526339428,0.0,1.0,1.0,0.15260171052917235,0.09912795577702355,0.0005320131442528116
